school_name,address,postal_code,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind
Admiralty Primary School,11   Woodlands Circle,738907,Woodlands,North,Government School,Co-Ed School,Full Day,Primary,No,No,No,No
Ahmad Ibrahim Primary School,10   Yishun Street 11,768643,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Ai Tong School,100  Bright Hill Drive,579646,Bishan,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No
Alexandra Primary School,2A   Prince Charles Crescent,159016,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Anchor Green Primary School,31   Anchorvale Drive,544969,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Anderson Primary School,19   Ang Mo Kio Ave 9,569785,Ang Mo Kio,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Ang Mo Kio Primary School,20   Ang Mo Kio Avenue 3,569920,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Anglo-Chinese School (Junior),16   Winstedt Road,227988,Central,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No
Anglo-Chinese School (Primary),50   Barker Road,309918,Novena,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,Yes,No
Angsana Primary School,3    Tampines Street 22,529366,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Beacon Primary School,36   Bukit Panjang Ring Road,679944,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Bedok Green Primary School,1    Bedok South Ave 2,469317,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Bendemeer Primary School,91   Bendemeer Road,339948,Kallang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Blangah Rise Primary School,91   Telok Blangah Heights,109100,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Boon Lay Garden Primary School,20   Boon Lay Drive,649930,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Bukit Panjang Primary School,109  Cashew Road,679676,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Bukit Timah Primary School,111  Lorong Kismis,598112,Bukit Timah,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Bukit View Primary School,18   Bukit Batok Street 21,659634,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Canberra Primary School,21   Admiralty Drive,757714,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Canossa Catholic Primary School,1    Sallim Road,387621,Geylang,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
Cantonment Primary School,1    Cantonment Close,88256,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Casuarina Primary School,30   Pasir Ris St 41,518935,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Cedar Primary School,15   Cedar Avenue,349700,Toa Payoh,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Changkat Primary School,11   Simei St 3,529896,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
CHIJ (Katong) Primary,17   Martia Road,424821,Bedok,East,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
CHIJ (Kellock),1    Bukit Teresa Road,99757,Bukit Merah,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
CHIJ Our Lady Of Good Counsel,2C   Burghley Drive,558979,Serangoon,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
CHIJ Our Lady Of The Nativity,1257 Upper Serangoon Road,534793,Hougang,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
CHIJ Our Lady Queen Of Peace,4    Chestnut Drive,679287,Bukit Panjang,West,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
CHIJ Primary (Toa Payoh),628  Lorong 1 Toa Payoh,319765,Toa Payoh,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
Chongfu School,170  Yishun Avenue 6,768959,Yishun,North,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
Chongzheng Primary School,1    Tampines Street 21,529392,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Chua Chu Kang Primary School,20   Choa Chu Kang Avenue 2,689905,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Clementi Primary School,8    Clementi Ave 3,129903,Clementi,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Compassvale Primary School,21   Compassvale St,545091,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Concord Primary School,3    Choa Chu Kang Ave 4,689814,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Corporation Primary School,31   Jurong West Street 24,648347,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Damai Primary School,52   Bedok Reservoir Crescent,479226,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Dazhong Primary School,35   Bukit Batok Street 31,659441,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
De La Salle School,11   Choa Chu Kang St 52,689285,Choa Chu Kang,West,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
East Spring Primary School,31   Tampines St 33,529258,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Edgefield Primary School,41   Edgefield Plains,828869,Punggol,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Elias Park Primary School,11   Pasir Ris Street 52,518866,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Endeavour Primary School,10   Admiralty Link,757521,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Eunos Primary School,95   Jalan Eunos,419529,Geylang,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Evergreen Primary School,31   Woodlands Circle,738908,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Fairfield Methodist School (Primary),100  Dover Road,139648,Queenstown,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
Farrer Park Primary School,2    Farrer Park Road,217567,Kallang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Fengshan Primary School,307  Bedok North Road,469680,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Fern Green Primary School,70   Fernvale Link,797538,Seng Kang,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Fernvale Primary School,1    Fernvale Lane,797701,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
First Toa Payoh Primary School,7    Lorong 8 Toa Payoh,319252,Toa Payoh,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Frontier Primary School,20   Jurong West Street 61,648200,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Fuchun Primary School,23   Woodlands Avenue 1,739063,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Fuhua Primary School,65   Jurong East Street 13,609647,Jurong East,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Gan Eng Seng Primary School,100  Redhill Close,158901,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Geylang Methodist School (Primary),4    Geylang East Central,389706,Geylang,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
