school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,VISUAL ARTS CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ENGLISH LANGUAGE AND DRAMA
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INFOCOMM TECHNOLOGY
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHY CLUB
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,NETBALL
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,RUGBY,RUGBY
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,WUSHU,WUSHU
ADMIRALTY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,NPCC
ADMIRALTY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),NCC BOYS (LAND)
ADMIRALTY SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,NCDCC
ADMIRALTY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE CLUB
ADMIRALTY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA CLUB
ADMIRALTY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND
ADMIRALTY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART & ENVIRONMENT CLUB
ADMIRALTY SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,ROBOTICS CLUB
ADMIRALTY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DIGITAL MEDIA,LIGHTHOUSE PRODUCTIONS
ADMIRALTY SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
