school_name,year,total_vac,p1_vac,p1_appl,p1_taken,p2a_vac,p2a_appl,p2a_taken,p2b_vac,p2b_appl,p2b_taken,p2c_vac,p2c_appl,p2c_taken,p2cs_vac,p2cs_appl,p2cs_taken,p3_vac,p3_appl,p3_taken
Admiralty Primary School,2023-01-01,210,150,75,75,75,32,32,34,37,34,70,109,70,0,0,0,0,0,0
Ahmad Ibrahim Primary School,2023-01-01,220,160,54,54,106,10,10,52,0,0,157,27,27,130,15,15,115,0,0
Ai Tong School,2023-01-01,300,240,114,114,126,120,120,22,56,22,45,78,45,0,0,0,0,0,0
Alexandra Primary School,2023-01-01,200,140,57,57,83,13,13,43,4,4,127,141,127,0,0,0,0,0,0
Anchor Green Primary School,2023-01-01,240,180,85,85,95,30,30,42,0,0,128,36,36,93,66,66,27,0,0
Anderson Primary School,2023-01-01,210,150,71,71,79,46,46,31,19,19,74,92,74,0,0,0,0,0,0
Ang Mo Kio Primary School,2023-01-01,150,90,32,32,58,33,33,28,0,0,85,29,29,56,15,15,41,0,0
Anglo-Chinese School (Junior),2023-01-01,270,210,76,76,134,101,101,31,52,31,62,79,62,0,0,0,0,0,0
Anglo-Chinese School (Primary),2023-01-01,240,180,56,56,124,106,106,26,51,26,53,68,53,0,0,0,0,0,0
Angsana Primary School,2023-01-01,280,220,88,88,132,95,95,32,2,2,95,167,95,0,0,0,0,0,0
Beacon Primary School,2023-01-01,150,90,60,60,30,6,6,28,0,0,84,31,31,53,9,9,44,0,0
Bedok Green Primary School,2023-01-01,210,150,57,57,94,11,11,48,0,0,143,27,27,116,36,36,80,0,0
Bendemeer Primary School,2023-01-01,190,130,36,36,94,12,12,47,1,1,143,30,30,113,50,50,63,0,0
Blangah Rise Primary School,2023-01-01,120,60,23,23,37,20,20,26,0,0,77,18,18,60,12,12,48,0,0
Boon Lay Garden Primary School,2023-01-01,180,120,46,46,74,15,15,40,0,0,121,27,27,94,25,25,69,0,0
Bukit Panjang Primary School,2023-01-01,240,180,100,100,80,78,78,21,24,21,42,89,42,0,0,0,0,0,0
Bukit Timah Primary School,2023-01-01,180,120,64,64,56,7,7,36,1,1,111,71,71,40,66,40,0,0,0
Bukit View Primary School,2023-01-01,320,260,62,62,198,17,17,80,0,0,242,27,27,215,127,127,88,0,0
CHIJ (Katong) Primary,2023-01-01,200,140,44,44,96,30,30,42,21,21,105,63,63,42,55,42,0,0,0
CHIJ (Kellock),2023-01-01,200,140,47,47,93,12,12,47,14,14,128,49,49,79,22,22,57,0,0
CHIJ Primary (Toa Payoh),2023-01-01,210,150,51,51,100,78,78,27,53,27,55,69,55,0,0,0,0,0,0
CHIJ Our Lady Queen Of Peace,2023-01-01,180,120,48,48,72,15,15,40,14,14,105,59,59,46,37,37,9,0,0
CHIJ Our Lady Of Good Counsel,2023-01-01,150,90,29,29,61,11,11,37,11,11,101,40,40,61,43,43,18,0,0
CHIJ Our Lady Of The Nativity,2023-01-01,240,180,60,60,120,24,24,52,45,45,111,113,111,0,0,0,0,0,0
CHIJ St. Nicholas Girls' School,2023-01-01,210,150,70,70,80,103,80,20,46,20,40,84,40,0,0,0,0,0,0
Canberra Primary School,2023-01-01,240,180,80,80,100,16,16,48,22,22,122,131,122,0,0,0,0,0,0
Canossa Catholic Primary School,2023-01-01,120,60,48,48,12,3,3,23,19,19,50,56,50,0,0,0,0,0,0
Cantonment Primary School,2023-01-01,150,90,45,45,45,4,4,34,2,2,100,40,40,60,19,19,41,0,0
Casuarina Primary School,2023-01-01,160,100,76,76,24,18,18,22,0,0,66,44,44,23,28,23,0,0,0
Catholic High School (Primary),2023-01-01,240,180,64,64,116,135,116,20,29,20,40,52,40,0,0,0,0,0,0
Cedar Primary School,2023-01-01,240,180,52,52,128,36,36,51,1,1,151,38,38,113,38,38,75,0,0
Changkat Primary School,2023-01-01,180,120,45,45,75,15,15,40,1,1,119,56,56,63,13,13,50,0,0
Chongfu School,2023-01-01,300,240,122,122,118,73,73,35,53,35,72,112,72,0,0,0,0,0,0
Chongzheng Primary School,2023-01-01,180,120,61,61,60,41,41,26,7,7,72,84,72,0,0,0,0,0,0
Chua Chu Kang Primary School,2023-01-01,240,180,121,121,59,44,44,25,14,14,62,111,62,0,0,0,0,0,0
Clementi Primary School,2023-01-01,280,220,55,55,165,13,13,71,0,0,214,51,51,163,103,103,60,0,0
Compassvale Primary School,2023-01-01,240,180,107,107,73,14,14,40,18,18,101,133,101,0,0,0,0,0,0
Concord Primary School,2023-01-01,240,180,99,99,81,32,32,36,1,1,108,76,76,32,54,32,0,0,0
Corporation Primary School,2023-01-01,180,120,45,45,75,17,17,39,2,2,118,31,31,88,18,18,70,0,0
Damai Primary School,2023-01-01,150,90,49,49,41,13,13,29,1,1,87,22,22,65,18,18,47,0,0
Dazhong Primary School,2023-01-01,200,140,56,56,84,61,61,28,0,0,85,83,83,2,41,2,0,0,0
De La Salle School,2023-01-01,240,180,91,91,89,16,16,44,5,5,128,96,96,32,33,32,0,0,0
East Spring Primary School,2023-01-01,190,130,49,49,81,11,11,43,0,0,130,64,64,66,38,38,28,0,0
Edgefield Primary School,2023-01-01,240,180,71,71,109,7,7,54,0,0,162,46,46,116,24,24,92,0,0
Elias Park Primary School,2023-01-01,160,100,77,77,23,22,22,20,0,0,61,101,61,0,0,0,0,0,0
Endeavour Primary School,2023-01-01,240,180,58,58,122,6,6,59,1,1,175,53,53,122,25,25,97,0,0
Evergreen Primary School,2023-01-01,180,120,68,68,52,18,18,31,0,0,94,66,66,28,22,22,6,0,0
Fairfield Methodist School (Primary),2023-01-01,270,210,116,116,94,103,94,20,52,20,40,66,40,0,0,0,0,0,0
Farrer Park Primary School,2023-01-01,220,160,35,35,125,20,20,55,1,1,164,37,37,127,29,29,98,0,0
Fengshan Primary School,2023-01-01,180,120,53,53,67,33,33,31,2,2,96,75,75,21,39,21,0,0,0
Fern Green Primary School,2023-01-01,240,180,130,130,50,50,50,20,1,1,61,73,61,0,0,0,0,0,0
Fernvale Primary School,2023-01-01,240,180,77,77,103,35,35,43,0,0,129,80,80,49,56,49,0,0,0
First Toa Payoh Primary School,2023-01-01,150,90,19,19,71,13,13,39,0,0,119,9,9,110,14,14,96,0,0
Frontier Primary School,2023-01-01,210,150,69,69,81,88,81,20,13,13,48,63,48,0,0,0,0,0,0
Fuchun Primary School,2023-01-01,180,120,58,58,62,27,27,32,1,1,95,45,45,50,4,4,46,0,0
Fuhua Primary School,2023-01-01,220,160,61,61,99,30,30,43,2,2,128,54,54,74,31,31,43,0,0
Gan Eng Seng Primary School,2023-01-01,150,90,31,31,59,4,4,38,0,0,115,27,27,88,21,21,67,0,0
Geylang Methodist School (Primary),2023-01-01,270,210,102,102,108,32,32,45,4,4,132,134,132,0,0,0,0,0,0
Gongshang Primary School,2023-01-01,220,160,114,114,46,163,46,20,16,16,44,107,44,0,0,0,0,0,0
Greendale Primary School,2023-01-01,280,220,68,68,152,22,22,63,0,0,190,23,23,167,17,17,150,0,0
Greenridge Primary School,2023-01-01,180,120,67,67,53,9,9,35,1,1,103,19,19,84,7,7,77,0,0
Greenwood Primary School,2023-01-01,240,180,99,99,82,16,16,42,3,3,123,89,89,34,33,33,1,0,0
Haig Girls' School,2023-01-01,190,130,51,51,79,24,24,38,18,18,97,108,97,0,0,0,0,0,0
Henry Park Primary School,2023-01-01,300,240,131,131,109,109,109,20,23,20,44,64,44,0,0,0,0,0,0
Holy Innocents' Primary School,2023-01-01,270,210,107,107,103,115,103,20,53,20,40,115,40,0,0,0,0,0,0
Hong Wen School,2023-01-01,210,150,82,82,69,34,34,32,30,30,69,151,69,0,0,0,0,0,0
Horizon Primary School,2023-01-01,240,180,103,103,77,105,77,20,16,16,44,81,44,0,0,0,0,0,0
Hougang Primary School,2023-01-01,190,130,76,76,54,22,22,31,17,17,76,98,76,0,0,0,0,0,0
Huamin Primary School,2023-01-01,240,180,101,101,79,90,79,20,1,1,61,95,61,0,0,0,0,0,0
Innova Primary School,2023-01-01,180,120,64,64,56,9,9,36,11,11,96,58,58,38,4,4,34,0,0
Jiemin Primary School,2023-01-01,220,160,68,68,92,19,19,44,0,0,134,57,57,77,54,54,23,0,0
Jing Shan Primary School,2023-01-01,150,90,51,51,39,51,39,20,1,1,61,62,61,0,0,0,0,0,0
Junyuan Primary School,2023-01-01,240,180,83,83,97,76,76,27,0,0,81,58,58,23,74,23,0,0,0
Jurong Primary School,2023-01-01,220,160,59,59,101,37,37,41,0,0,125,73,73,52,72,52,0,0,0
Jurong West Primary School,2023-01-01,180,120,57,57,63,65,63,20,1,1,60,63,60,0,0,0,0,0,0
Keming Primary School,2023-01-01,240,180,100,100,80,51,51,30,8,8,82,138,82,0,0,0,0,0,0
Kheng Cheng School,2023-01-01,240,180,71,71,109,47,47,41,1,1,121,110,110,11,28,11,0,0,0
Kong Hwa School,2023-01-01,270,210,110,110,100,74,74,29,57,29,57,84,57,0,0,0,0,0,0
Kranji Primary School,2023-01-01,120,60,35,35,25,25,25,20,0,0,60,21,21,39,16,16,23,0,0
Kuo Chuan Presbyterian Primary School,2023-01-01,240,180,88,88,92,57,57,32,36,32,67,76,67,0,0,0,0,0,0
Lakeside Primary School,2023-01-01,240,180,82,82,98,42,42,39,0,0,119,112,112,7,19,7,0,0,0
Lianhua Primary School,2023-01-01,320,260,53,53,207,17,17,84,0,0,252,36,36,216,51,51,165,0,0
Maha Bodhi School,2023-01-01,330,270,141,141,129,99,99,30,42,30,63,82,63,0,0,0,0,0,0
Maris Stella High School,2023-01-01,270,210,70,70,140,122,122,26,30,26,55,77,55,0,0,0,0,0,0
Marsiling Primary School,2023-01-01,210,150,52,52,98,15,15,48,0,0,143,74,74,69,4,4,65,0,0
Marymount Convent School,2023-01-01,240,180,38,38,143,9,9,65,7,7,188,56,56,132,62,62,70,0,0
