school_name,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
ADMIRALTY PRIMARY SCHOOL,STEM,Design Thinking for Sustainability (DTS @ Admiralty),Community Service & Student Leadership,High Performance Mind-set for Personal Leadership,NULL,NULL
ADMIRALTY SECONDARY SCHOOL,STEM,Design Thinking Through Innovation and Technology,Community & Youth Leadership,Nurturing Mindful Leaders through Community Outreach,NULL,NULL
AHMAD IBRAHIM PRIMARY SCHOOL,Science,Sustainability Education ? Nurturing Students to be Stewards of Our Environment,Community Service & Student Leadership,From Values to Action - Nurturing Community-Based Student Leaders,NULL,NULL
AHMAD IBRAHIM SECONDARY SCHOOL,Languages & Humanities,Critical Social Inquiry and Media Literacy,Sports & Outdoor Education,Character Development through Outdoor Learning Experience (OLE),NULL,NULL
AI TONG SCHOOL,NULL,NULL,Music & Performing Arts,Caring through ARTS,Sports & Outdoor Education,Character and Leadership Development through Outdoor Education Programme
ALEXANDRA PRIMARY SCHOOL,Science,"Science, Design Technology & Design Thinking at ALPS (SDT2@ALPS)",Community Service & Student Leadership,Cultural Intelligence (CQ) ? The Code of Life,NULL,NULL
ANCHOR GREEN PRIMARY SCHOOL,Interdisciplinary,Empowering Learners to be Environmental Activists (ELEA),Music & Performing Arts/ Visual Arts & Design,"A.G.P.S Arts (Aspire, Grow, Passion and Serve through the Arts)",NULL,NULL
ANDERSON PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Andersonians Living Actively through Values-based Experiences (ALIVE) Programme,Music & Performing Arts,Values Inculcation Via Arts and Creative Experiences (VIVACE) @ Anderson
ANG MO KIO PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,AMKP Leadership-Inspired Values Education (ALIVE),NULL,NULL
ANG MO KIO SECONDARY SCHOOL,STEM,Environment Science & Technology,Music & Performing Arts,Integrated Arts Programme,NULL,NULL
ANGLO-CHINESE SCHOOL (BARKER ROAD),Languages & Humanities,"Developing Effective Communicators through Drama, Debates and Public Speaking",Sports & Outdoor Education,"Building Character through Sports (Basketball, Rugby, Tennis and Water Polo) & Outdoor Education",NULL,NULL
