school_name,address,postal_code,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude
Admiralty Primary School,11   Woodlands Circle,738907,Woodlands,North,Government School,Co-Ed School,Full Day,Primary,No,No,No,No,1.4426,103.8001
Ahmad Ibrahim Primary School,10   Yishun Street 11,768643,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4333,103.8328
Ai Tong School,100  Bright Hill Drive,579646,Bishan,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No,1.3606,103.833
Alexandra Primary School,2A   Prince Charles Crescent,159016,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.2913,103.8242
Anchor Green Primary School,31   Anchorvale Drive,544969,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3904,103.8872
Anderson Primary School,19   Ang Mo Kio Ave 9,569785,Ang Mo Kio,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3842,103.8414
Ang Mo Kio Primary School,20   Ang Mo Kio Avenue 3,569920,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3692,103.8393
Anglo-Chinese School (Junior),16   Winstedt Road,227988,Central,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No,1.3092,103.8415
Anglo-Chinese School (Primary),50   Barker Road,309918,Novena,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,Yes,No,1.3185,103.8355
Angsana Primary School,3    Tampines Street 22,529366,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3485,103.9517
Beacon Primary School,36   Bukit Panjang Ring Road,679944,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3839,103.7736
Bedok Green Primary School,1    Bedok South Ave 2,469317,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3237,103.9378
Bendemeer Primary School,91   Bendemeer Road,339948,Kallang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.322,103.8654
Blangah Rise Primary School,91   Telok Blangah Heights,109100,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.2761,103.8086
Boon Lay Garden Primary School,20   Boon Lay Drive,649930,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.343,103.7131
Bukit Panjang Primary School,109  Cashew Road,679676,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3735,103.7693
Bukit Timah Primary School,111  Lorong Kismis,598112,Bukit Timah,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3376,103.767
Bukit View Primary School,18   Bukit Batok Street 21,659634,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3461,103.7535
Canberra Primary School,21   Admiralty Drive,757714,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4513,103.8158
Canossa Catholic Primary School,1    Sallim Road,387621,Geylang,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3267,103.8816
Cantonment Primary School,1    Cantonment Close,088256,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.2755,103.84
Casuarina Primary School,30   Pasir Ris St 41,518935,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3728,103.9571
Catholic High School (Primary),9    Bishan Street 22,579767,Bishan,North,Government-Aided Sch,Boys' School,Single Session,Mixed Levels,Yes,Yes,Yes,Yes,1.3546,103.8445
Cedar Primary School,15   Cedar Avenue,349700,Toa Payoh,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3356,103.8756
Changkat Primary School,11   Simei St 3,529896,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3401,103.9522
CHIJ (Katong) Primary,17   Martia Road,424821,Bedok,East,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3065,103.9111
CHIJ (Kellock),1    Bukit Teresa Road,099757,Bukit Merah,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.2749,103.8281
CHIJ Our Lady Of Good Counsel,2C   Burghley Drive,558979,Serangoon,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3577,103.8641
CHIJ Our Lady Of The Nativity,1257 Upper Serangoon Road,534793,Hougang,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3733,103.8976
CHIJ Our Lady Queen Of Peace,4    Chestnut Drive,679287,Bukit Panjang,West,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3666,103.7674
CHIJ Primary (Toa Payoh),628  Lorong 1 Toa Payoh,319765,Toa Payoh,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3328,103.8418
CHIJ St. Nicholas Girls' School,501  Ang Mo Kio Street 13,569405,Ang Mo Kio,North,Government-Aided Sch,Girls' School,Single Session,Mixed Levels,Yes,Yes,No,Yes,1.3735,103.8343
Chongfu School,170  Yishun Avenue 6,768959,Yishun,North,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.4384,103.8392
Chongzheng Primary School,1    Tampines Street 21,529392,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3507,103.9514
Chua Chu Kang Primary School,20   Choa Chu Kang Avenue 2,689905,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3777,103.7416
Clementi Primary School,8    Clementi Ave 3,129903,Clementi,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3151,103.7631
Compassvale Primary School,21   Compassvale St,545091,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3944,103.8978
Concord Primary School,3    Choa Chu Kang Ave 4,689814,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3801,103.7364
Corporation Primary School,31   Jurong West Street 24,648347,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3512,103.7076
Damai Primary School,52   Bedok Reservoir Crescent,479226,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3355,103.9213
Dazhong Primary School,35   Bukit Batok Street 31,659441,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3591,103.7483
De La Salle School,11   Choa Chu Kang St 52,689285,Choa Chu Kang,West,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3947,103.7432
East Spring Primary School,31   Tampines St 33,529258,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3527,103.9617
Edgefield Primary School,41   Edgefield Plains,828869,Punggol,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4002,103.9076
Elias Park Primary School,11   Pasir Ris Street 52,518866,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3748,103.9452
Endeavour Primary School,10   Admiralty Link,757521,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.454,103.8173
Eunos Primary School,95   Jalan Eunos,419529,Geylang,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3244,103.9045
Evergreen Primary School,31   Woodlands Circle,738908,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4442,103.7946
Fairfield Methodist School (Primary),100  Dover Road,139648,Queenstown,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3008,103.7854
Farrer Park Primary School,2    Farrer Park Road,217567,Kallang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3124,103.8508
Fengshan Primary School,307  Bedok North Road,469680,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3298,103.9317
Fern Green Primary School,70   Fernvale Link,797538,Seng Kang,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3974,103.8802
Fernvale Primary School,1    Fernvale Lane,797701,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3901,103.8743
First Toa Payoh Primary School,7    Lorong 8 Toa Payoh,319252,Toa Payoh,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3403,103.8555
Frontier Primary School,20   Jurong West Street 61,648200,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3366,103.6997
Fuchun Primary School,23   Woodlands Avenue 1,739063,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4306,103.7782
Fuhua Primary School,65   Jurong East Street 13,609647,Jurong East,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3365,103.7361
Gan Eng Seng Primary School,100  Redhill Close,158901,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.2858,103.8154
Geylang Methodist School (Primary),4    Geylang East Central,389706,Geylang,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3177,103.8838
Gongshang Primary School,1    Tampines Street 42,529176,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3572,103.9491
Greendale Primary School,50   Edgedale Plains,828848,Punggol,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3965,103.9124
Greenridge Primary School,11   Jelapang Road,677744,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3859,103.7678
Greenwood Primary School,11   Woodlands  Dr  62,737942,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.44,103.8047
Guangyang Primary School,6    Bishan Street 12,579806,Bishan,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3459,103.8494
Haig Girls' School,51   Koon Seng Road,427072,Geylang,East,Government School,Girls' School,Single Session,Primary,No,No,No,No,1.3117,103.9031
Henry Park Primary School,1    Holland Grove Road,278790,Bukit Timah,West,Government School,Co-Ed School,Single Session,Primary,No,No,Yes,No,1.3167,103.7843
Holy Innocents' Primary School,5    Lorong Low Koon,536451,Hougang,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No,1.367,103.8942
Hong Wen School,30   Towner Road,327829,Kallang,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No,1.3218,103.8576
